workclass,education,marital_status,occupation,relationship,race,sex,native_country,Class,age,education_num,capital_gain,capital_loss,hours_per_week
3,11,4,11,1,4,1,38,0.5554780227335889,-1.5822062886564523,0.4832982433748223,0.5299926705828533,-0.21665952703259012,0.32889554626802253
5,11,2,3,0,4,1,38,0.0,0.8241194203229643,-0.8916413188917265,2.5474430156057624,0.8078273364010742,-1.6191682029899825
3,4,5,9,0,4,1,38,0.24382252954415265,0.7918693057283993,0.23109452647715034,0.2687421326987687,1.9830227335028925,0.17115016836491784
3,7,4,9,3,4,0,25,0.8276590498045453,1.0029851453470922,0.6203267399917386,-0.14592048355885345,-0.21665952703259012,-0.6557223212890411
3,11,0,3,0,4,1,11,0.24148487325649376,0.12143520709186054,-0.19167400334685986,0.36838210725665627,1.3934137205865749,0.10968540314212392
3,9,4,11,0,4,0,38,0.0,1.7755952356734062,-0.8738822329555034,-0.14592048355885345,-0.21665952703259012,1.1025969302181797
4,11,4,9,0,4,1,38,0.040322439320821885,-0.8257848502308205,-0.13098592310804535,0.2342430549967747,-0.21665952703259012,-0.37015802878547766
3,15,2,11,0,2,1,25,0.611854346742306,-0.10086144175293964,0.9493387093996244,0.18924267443987522,0.3903394374941957,0.8240250591750146
3,15,2,5,1,4,1,38,0.0,-0.9092420924956202,-1.1811223089806842,-0.14592048355885345,-0.21665952703259012,-0.20978206820400314
3,9,4,9,0,4,0,38,0.0,-0.8942668170620605,-0.4897957346056405,1.0495935757972905,-0.21665952703259012,1.5122310644285974
5,11,5,2,1,4,0,38,0.0,-1.0361318724419852,-0.6808978309259556,-0.14592048355885345,0.5176929442794004,-0.042241948273418845
3,15,2,9,3,4,1,38,1.0,0.04089787282659389,-0.3785800345027528,-0.14592048355885345,-0.21665952703259012,0.9162759644636183
1,15,2,9,1,4,1,38,0.6675984492954696,-0.8874744471850434,0.6081208053976872,-0.14592048355885345,0.23462201870418783,0.555316726440291
3,11,2,13,4,4,1,38,0.24518455470811829,0.39959097696267526,-1.6447446356038404,-0.14592048355885345,-0.21665952703259012,-0.20536776200183318
3,15,4,9,1,4,1,38,0.5554687250012256,-0.6259127282461727,0.048907164097315936,-0.14592048355885345,0.3119283767708523,0.11827304038064188
3,1,4,6,0,4,1,38,0.0,1.0203119915959253,1.2620866391010523,1.2901146295078587,0.4274959890416613,0.04857638974988202
3,15,0,6,3,4,0,38,0.7017938900690763,-0.6310140586178026,-1.5222377474060365,-0.14592048355885345,-0.21665952703259012,1.6081768913484382
3,15,0,5,1,4,0,38,0.6327364809293099,-0.5170361990621093,-0.274430178678755,-0.1233934160810732,0.25382832377128006,-0.9797478937852767
3,7,0,13,3,4,1,38,0.5395851108260383,-0.49454775848970445,0.8668650675476495,1.2570703119109052,1.674913857611889,0.7011578808974701
3,11,4,9,1,4,1,38,0.5230283913585886,1.5132405016384758,-1.5300734971505294,0.526801412262223,0.6492518272784853,0.8616442970290319
3,9,0,9,4,0,1,38,0.0,-0.5944009272330569,0.7011216224102489,1.206060560258754,1.5104027552767705,0.9333415774895499
3,15,4,7,3,4,1,38,0.12225243040213547,-1.5822062886564523,0.1734922275801045,-0.14592048355885345,-0.21665952703259012,-0.8293018208990139
3,15,2,9,4,4,0,38,0.48575067492801416,-0.6660761952758265,2.3008375546552444,0.1989016356498833,-0.21665952703259012,-0.49992408931310517
3,15,0,11,5,4,1,38,0.9790152943303378,-0.30338107741434245,0.24906017343161718,1.3780763682081092,-0.21665952703259012,0.14940215507753674
3,11,2,4,3,3,1,38,1.0,-1.5822062886564523,-0.44251030228437865,-0.02403438881883658,-0.21665952703259012,1.1997309083541885
3,15,2,9,0,4,0,38,0.42561739397221676,0.8215006425260213,-0.5572418544196781,-0.14592048355885345,-0.21665952703259012,0.783469735262843
3,9,0,9,0,4,0,38,0.5722903601360261,-0.002478221137447041,0.2648195392241042,0.6179649561709993,1.607021752529204,-1.1226876060803965
3,9,4,9,0,4,0,38,0.0,-0.07149526047719325,-0.462816558423461,-0.04437792411871278,0.4974688213040595,0.024329552316420276
6,1,2,2,4,4,0,38,1.0,1.7094957455265605,-1.620670744234637,-0.14592048355885345,-0.21665952703259012,-1.2130876667422443
1,11,4,7,0,4,1,38,0.24718453214987296,-0.04897632570961668,-0.555245262020065,-0.14592048355885345,0.8800506822071851,-0.2339252165670411
3,15,2,9,1,2,1,38,0.0,-0.21870989856521944,0.10218876902021265,0.6480329509484222,-0.21665952703259012,-0.25630255759404724
3,11,0,11,0,4,0,32,0.721557661721867,-1.103305436591968,-1.8929483360312602,0.07905529200975821,-0.21556894769073565,0.20106849938395602
3,15,0,5,4,3,0,38,0.4200514114303936,-1.5822062886564523,1.115218519344029,0.2227904543955813,0.06818138395395154,0.25212770308363525
4,15,2,2,0,4,0,38,0.45201813633400245,-0.19134496540449716,1.785043834208523,0.1323492808622883,-0.21665952703259012,0.555406300167521
1,12,2,0,0,4,1,38,0.25145336890225745,-1.002127640630928,-0.15138605976802405,-0.13689070275961,0.26121680169302974,-0.3015800573710383
3,11,4,3,0,4,1,38,0.2213339607860021,0.43282238123824374,1.1498288029567383,-0.14592048355885345,-0.21665952703259012,1.2699898206133697
3,7,2,7,0,4,1,38,0.0285731499104174,0.9251248613971083,0.013383680296362426,-0.13455925097554916,1.0923746112085653,0.22291801973425357
3,11,2,7,0,4,0,38,0.0,-0.6516356585259437,0.840822146865895,0.8828161628132541,0.8960896454379806,-0.7110875180372
3,15,4,6,0,4,1,38,0.134576411921838,-0.24305586719972574,1.376585583132946,0.027730057898233237,-0.21665952703259012,0.7673531315869218
3,11,4,2,0,4,0,38,0.30480676854259636,0.028504129932950012,0.2110748722502965,0.33434137694380256,-0.08846418038710094,0.08845274137936775
3,11,4,7,5,4,1,38,0.15736194266452974,-1.2331463644323224,0.00525354024216208,1.823052726845957,0.06372189937505333,0.14214680533244473
3,1,4,7,0,2,1,32,0.0,-1.5822062886564523,-0.8463532574533567,1.026079015448944,-0.1473355812128914,-0.20587284107472903
3,15,0,9,0,4,0,38,0.0,-0.7624885968167731,-0.6183623543036945,-0.14592048355885345,-0.21665952703259012,-1.4582934493680892
3,15,4,0,3,4,1,0,0.09624040869530881,0.9909715348372173,-0.10772396827646416,-0.14592048355885345,-0.21665952703259012,0.6305086735968942
3,9,0,7,3,4,1,23,0.49464658911552734,0.8043385236046773,1.6313054057423473,0.01213305102518529,0.4177667997197187,1.089770499912061
3,8,2,0,1,0,1,38,0.0,-0.266054358726631,0.42840359313010457,1.9465295637781495,-0.21665952703259012,-0.5966931480411
3,11,2,3,4,4,0,38,0.14726548761714764,-0.872126773528218,2.078874884612948,-0.14592048355885345,1.1084913430943397,-0.7444377257176816
3,11,4,5,0,4,0,27,0.000978524502116579,-0.49978578672143975,-0.06143947053349216,1.2839950228633066,0.678095106376425,0.3470405028870559
3,11,2,13,0,1,1,38,0.0,-0.17777675669807552,0.45826138986406456,-0.02365959851253429,0.7601207495877467,1.440152538305377
3,11,0,9,1,4,1,38,0.04191431771984522,-1.042362082870881,1.2777218525515333,1.078972507203114,1.824606754093668,-0.28173341675914165
3,1,0,9,0,4,1,38,0.0,1.8803036688921329,-1.0409584530413187,0.8314827607970384,-0.21665952703259012,-0.48435809870751806
3,9,2,9,3,4,1,38,0.0,1.2648435008967547,-0.15987999889922402,0.33017566057380815,0.7251043883469876,0.011077820919640876
3,11,4,3,1,4,1,38,0.0,1.08998709879514,0.8454605287927797,-0.14592048355885345,-0.21665952703259012,0.3656102413133763
3,11,4,11,3,4,1,38,0.5013932171632859,1.0374834390245813,-0.47526023399615863,1.9357140313940964,0.13014579674546908,0.502327621354619
3,9,2,11,0,4,1,38,1.0,-0.6485669137573423,0.7558992881541743,-0.14592048355885345,0.4635847445928809,-0.8268568412908123
0,9,2,3,1,4,1,38,0.20575536255423316,-1.3201141878401883,-1.565784421575391,-0.14592048355885345,0.23076109620175772,0.24215352357130762
3,12,2,3,2,4,1,38,0.5621975292374499,0.2325864043895748,0.9584978664892765,1.6980510002618008,-0.21665952703259012,0.9520616331723559
3,11,4,13,0,4,1,38,0.1670619950006884,1.8433717036720103,-1.039856158305256,-0.14592048355885345,-0.09828101107246634,-1.8717959601927934
3,7,0,5,1,4,1,38,0.0,-0.49049672012774787,-0.42255123733205413,1.037481613160819,0.48250543044136335,0.12189857593436212
3,10,2,0,3,4,1,38,0.7964628197250723,-0.20661170047632116,-1.1042923165576222,-0.14592048355885345,0.7159375833723423,2.321823962515944
6,10,4,11,0,4,1,38,0.5885571098753333,0.49618248944991844,-1.0529711873348895,0.1499717106173042,-0.21665952703259012,-1.3681595700845794
1,11,4,7,1,2,1,38,0.0,0.16263800386707578,2.3008375546552444,-0.14592048355885345,0.6036587239200633,-0.2953907625166235
3,9,2,9,3,4,0,38,0.41053144757878096,-0.7614154802079375,-1.0321116838170616,0.8922033993921638,-0.21665952703259012,-0.048392315608418474
3,15,2,3,0,4,1,38,0.2772947997422537,0.39811417718962466,-0.060078805217113083,2.0402838836382307,-0.21665952703259012,-0.24175945808949617
3,15,5,5,4,4,1,25,0.0,0.5606798627406818,-0.41978560253586705,-0.12125734703865607,0.7533838687597892,2.252277953840117
3,5,2,9,3,4,0,38,0.30608865517267936,-0.20092381844562698,-0.7914520797318195,0.6632119554578642,-0.21665952703259012,-1.0764746499011977
3,2,2,9,0,4,1,38,0.0,1.0241209814881465,-0.6543754289603632,-0.14592048355885345,0.3803906916398652,-1.3660287263741644
3,1,2,2,4,4,0,38,0.5028498701956823,-0.33510166991651164,0.9951833131787865,1.556798776806721,1.2927576975745558,1.029718030660706
3,9,0,11,1,4,1,38,0.0,-0.7526347542641642,0.5525220039259788,0.7192045925647691,1.2837427036160254,-0.975971595820364
5,15,0,9,1,3,1,38,0.0,1.8613190542893108,-0.7780521675548576,0.20642767505467544,-0.21665952703259012,0.5890711358898943
