workclass,education,marital_status,occupation,relationship,race,sex,native_country,Class,age,education_num,capital_gain,capital_loss,hours_per_week
3.0,11.0,4.0,11.0,1.0,4.0,1.0,38.0,0,-1.5822062886564523,0.4832982433748223,0.5299926705828533,-0.2166595270325901,0.3288955462680225
5.0,11.0,2.0,3.0,0.0,4.0,1.0,38.0,1,0.8241194203229643,-0.8916413188917265,2.5474430156057624,0.8078273364010742,-1.6191682029899823
3.0,4.0,5.0,9.0,0.0,4.0,1.0,38.0,0,0.7918693057283993,0.23109452647715034,0.2687421326987687,1.9830227335028925,0.17115016836491784
3.0,7.0,4.0,9.0,3.0,4.0,0.0,25.0,0,1.0029851453470922,0.6203267399917386,-0.14592048355885345,-0.2166595270325901,-0.6557223212890411
3.0,11.0,0.0,3.0,0.0,4.0,1.0,11.0,0,0.12143520709186055,-0.19167400334685986,0.36838210725665627,1.3934137205865749,0.10968540314212392
3.0,9.0,4.0,11.0,0.0,4.0,0.0,38.0,0,1.7755952356734062,-0.8738822329555034,-0.14592048355885345,-0.2166595270325901,1.1025969302181795
4.0,11.0,4.0,9.0,0.0,4.0,1.0,38.0,0,-0.8257848502308205,-0.13098592310804535,0.2342430549967747,-0.2166595270325901,-0.3701580287854777
3.0,15.0,2.0,11.0,0.0,2.0,1.0,25.0,1,-0.10086144175293964,0.9493387093996244,0.1892426744398752,0.3903394374941957,0.8240250591750146
3.0,15.0,2.0,5.0,1.0,4.0,1.0,38.0,0,-0.9092420924956202,-1.1811223089806842,-0.14592048355885345,-0.2166595270325901,-0.2097820682040032
3.0,9.0,4.0,9.0,0.0,4.0,0.0,38.0,1,-0.8942668170620605,-0.4897957346056405,1.0495935757972903,-0.2166595270325901,1.5122310644285974
5.0,11.0,5.0,2.0,1.0,4.0,0.0,38.0,0,-1.0361318724419852,-0.6808978309259556,-0.14592048355885345,0.5176929442794004,-0.04224194827341885
3.0,15.0,2.0,9.0,3.0,4.0,1.0,38.0,0,0.040897872826593885,-0.3785800345027528,-0.14592048355885345,-0.2166595270325901,0.9162759644636184
1.0,15.0,2.0,9.0,1.0,4.0,1.0,38.0,0,-0.8874744471850434,0.6081208053976872,-0.14592048355885345,0.23462201870418786,0.5553167264402911
3.0,11.0,2.0,13.0,4.0,4.0,1.0,38.0,0,0.3995909769626753,-1.6447446356038404,-0.14592048355885345,-0.2166595270325901,-0.2053677620018332
3.0,15.0,4.0,9.0,1.0,4.0,1.0,38.0,0,-0.6259127282461727,0.048907164097315936,-0.14592048355885345,0.3119283767708523,0.11827304038064188
3.0,1.0,4.0,6.0,0.0,4.0,1.0,38.0,1,1.0203119915959251,1.2620866391010523,1.2901146295078587,0.4274959890416613,0.04857638974988202
3.0,15.0,0.0,6.0,3.0,4.0,0.0,38.0,0,-0.6310140586178026,-1.5222377474060365,-0.14592048355885345,-0.2166595270325901,1.6081768913484382
3.0,15.0,0.0,5.0,1.0,4.0,0.0,38.0,0,-0.5170361990621093,-0.274430178678755,-0.1233934160810732,0.2538283237712801,-0.9797478937852768
3.0,7.0,0.0,13.0,3.0,4.0,1.0,38.0,1,-0.4945477584897045,0.8668650675476495,1.2570703119109052,1.6749138576118892,0.7011578808974701
3.0,11.0,4.0,9.0,1.0,4.0,1.0,38.0,0,1.5132405016384758,-1.5300734971505294,0.526801412262223,0.6492518272784853,0.8616442970290319
3.0,9.0,0.0,9.0,4.0,0.0,1.0,38.0,1,-0.5944009272330569,0.7011216224102489,1.2060605602587542,1.5104027552767705,0.9333415774895502
3.0,15.0,4.0,7.0,3.0,4.0,1.0,38.0,0,-1.5822062886564523,0.1734922275801045,-0.14592048355885345,-0.2166595270325901,-0.8293018208990139
3.0,15.0,2.0,9.0,4.0,4.0,0.0,38.0,0,-0.6660761952758265,2.3008375546552444,0.1989016356498833,-0.2166595270325901,-0.4999240893131052
3.0,15.0,0.0,11.0,5.0,4.0,1.0,38.0,1,-0.30338107741434245,0.2490601734316172,1.3780763682081092,-0.2166595270325901,0.14940215507753676
3.0,11.0,2.0,4.0,3.0,3.0,1.0,38.0,0,-1.5822062886564523,-0.44251030228437865,-0.024034388818836586,-0.2166595270325901,1.1997309083541885
3.0,15.0,2.0,9.0,0.0,4.0,0.0,38.0,0,0.8215006425260213,-0.5572418544196781,-0.14592048355885345,-0.2166595270325901,0.783469735262843
3.0,9.0,0.0,9.0,0.0,4.0,0.0,38.0,1,-0.0024782211374470412,0.2648195392241042,0.6179649561709993,1.607021752529204,-1.1226876060803963
3.0,9.0,4.0,9.0,0.0,4.0,0.0,38.0,0,-0.07149526047719325,-0.462816558423461,-0.04437792411871278,0.4974688213040595,0.02432955231642028
